,name
0,Antigua & Barbuda
1,United Arab Emirates
2,Afghanistan
3,Algeria
4,Azerbaijan
5,Albania
6,Armenia
7,Angola
8,Argentina
9,Australia
10,Austria
11,Antarctica
12,Bahrain
13,Botswana
14,Bermuda
15,Belgium
16,The Bahamas
17,Bangladesh
18,Belize
19,Bosnia & Herzegovina
20,Bolivia
21,Myanmar
22,Benin
23,Belarus
24,Solomon Is.
25,Brazil
26,Bhutan
27,Bulgaria
28,Brunei
29,Burundi
30,Canada
31,Cambodia
32,Chad
33,Sri Lanka
34,Congo
35,"Congo, DRC"
36,China
37,Chile
38,Cayman Is.
39,Cameroon
40,Colombia
41,Costa Rica
42,Central African Republic
43,Cuba
44,Cape Verde
45,Cook Is.
46,Cyprus
47,Denmark
48,Dominica
49,Dominican Republic
50,Ecuador
51,Egypt
52,Ireland
53,Equatorial Guinea
54,Estonia
55,Eritrea
56,El Salvador
57,Ethiopia
58,Czech Republic
59,Finland
60,Fiji
61,Falkland Is.
62,Micronesia
63,Faroe Is.
64,France
65,French Southern & Antarctic Lands
66,The Gambia
67,Gabon
68,Georgia
69,Ghana
70,Gibraltar
71,Guernsey
72,Greenland
73,Germany
74,Greece
75,Guatemala
76,Guinea
77,Guyana
78,Gaza Strip
79,Honduras
80,Croatia
81,Hungary
82,Iceland
83,Indonesia
84,Isle of Man
85,India
86,British Indian Ocean Territory
87,Iran
88,Israel
89,Italy
90,Cote d'Ivoire
91,Iraq
92,Japan
93,Jersey
94,Jamaica
95,Jordan
96,Kenya
97,Kyrgyzstan
98,North Korea
99,Kiribati
100,South Korea
101,Christmas I.
102,Kuwait
103,Kazakhstan
104,Laos
105,Lebanon
106,Latvia
107,Lithuania
108,Liberia
109,Slovakia
110,Lesotho
111,Luxembourg
112,Libya
113,Madagascar
114,Moldova
115,Mongolia
116,Malawi
117,Montenegro
118,Macedonia
119,Mali
120,Morocco
121,Mauritius
122,Mauritania
123,Malta
124,Oman
125,Mexico
126,Malaysia
127,Mozambique
128,Niue
129,Norfolk I.
130,Niger
131,Vanuatu
132,Nigeria
133,Netherlands
134,Sint Maarten
135,Norway
136,Nepal
137,Suriname
138,Nicaragua
139,New Zealand
140,South Sudan
141,Paraguay
142,Pitcairn Is.
143,Peru
144,Pakistan
145,Poland
146,Panama
147,Portugal
148,Papua New Guinea
149,Palau
150,Guinea-Bissau
151,Qatar
152,Serbia
153,Reunion
154,Marshall Is.
155,Romania
156,Philippines
157,Russia
158,Rwanda
159,Saudi Arabia
160,South Africa
161,Senegal
162,St. Helena
163,Slovenia
164,Sierra Leone
165,Singapore
166,Spain
167,St. Lucia
168,Sudan
169,Sweden
170,Syria
171,Switzerland
172,Trinidad & Tobago
173,Thailand
174,Tajikistan
175,Turks & Caicos Is.
176,Tonga
177,Togo
178,Tunisia
179,Turkey
180,Turkmenistan
181,Tanzania
182,Curacao
183,Uganda
184,United Kingdom
185,Ukraine
186,United States
187,Burkina Faso
188,Uruguay
189,Uzbekistan
190,Venezuela
191,Vietnam
192,Namibia
193,Swaziland
194,Zambia
195,Zimbabwe
